refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Gravity,Degree_Centrality,Betweenness_Centrality,Edge_Weight_Sum,Community_ID
SUGVUM,OC(=O)c1ccc(cc1)n1cncc1,Cu,5.79845,4.06775,5.78429,0.0813958501147746,0.06483516483516484,0.001584238642327631,50.20465347353498,15
SUGWEX03,OC(=O)c1ccc(cc1)n1cncc1,Cu,5.94929,4.19575,5.93869,0.08197610873097914,0.06593406593406594,0.0014633085736835648,50.94065100878586,15
SUHHOT,O[C@H]([C@H](C(=O)O)O)C(=O)O,La,2.66433,0.83622,2.66433,0.9989578142326152,1.0,0.030952380952380953,6.883098171226565,414
SUHMIS,CCc1[nH]nc(n1)CC,Cu,7.25963,1.5936,6.86269,0.542846367000219,0.5128205128205128,0.003951198860074407,19.09701776910663,159
SUHNAL,CCc1[nH]nc(n1)CC,Cu,7.22102,1.57641,6.80253,0.48206689634748,0.4615384615384615,0.0039000402949839526,17.08879127784907,159
SUHNIT,CCc1[nH]nc(n1)CC,Cu,7.2005,1.57913,6.75899,0.5733704390014897,0.5384615384615384,0.004306914695666403,20.087082028627606,159
SUHPAN,CCc1[nH]nc(n1)CC,Cu,7.17662,1.56603,7.17662,0.5132889145107948,0.48717948717948717,0.0031037048206706387,18.240874937392018,159
SUHPIV,CCc1[nH]nc(n1)CC,Cu,7.2598,1.61622,6.86447,0.48314863606490577,0.4615384615384615,0.0030738570741046267,17.261270581470146,159
SUHPUH,CCc1[nH]nc(n1)CC,Cu,7.24136,1.58853,6.83928,0.45333237671166005,0.4358974358974359,0.003452170223393948,16.279592203489706,159
SUHQES,CCc1[nH]nc(n1)CC,Cu,7.23328,1.57941,7.23328,0.4816883329143835,0.4615384615384615,0.0035232971550829186,17.083007772091303,159
SUHQUI,CCc1[nH]nc(n1)CC,Cu,7.24627,1.57027,5.32934,0.5135714211616427,0.48717948717948717,0.0034763791872313944,18.23768916661769,159
SUKREX01,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,La,5.29386,1.10593,5.29386,0.0992200664971724,0.058823529411764705,0.011811942100910248,8.180783486121591,27
SUKRIB,OC(=O)c1cc(C(=O)O)c(cc1C(=O)O)C(=O)O,Ce,5.53782,1.11944,5.53782,0.6998625648021041,0.09302325581395349,0.022199898088657334,7.324207378261755,0
SUKYIH,OC(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cu,9.64677,6.40726,9.64677,0.22106542793271544,0.18461538461538463,0.0025745671781624443,136.84179393487543,15
SUKYON,OC(=O)c1ccc(cc1)c1ccc(cc1)C(c1ccc(cc1)c1ccc(cc1)C(=O)O)(c1ccc(cc1)c1ccc(cc1)C(=O)O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Cu,10.7704,7.28084,10.76516,0.13464536051429957,0.09010989010989011,0.0009914881012849563,69.29825992332735,15
SULKIU,OC(=O)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)C(=O)O,Zn,4.53407,1.7552,4.47657,0.14703810922491758,0.18495575221238938,3.4687613757524196e-05,177.38646156430457,1
