refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere,Community ID,Gravity,Degree Centrality,Betweenness Centrality,Edge Weight Sum
SIGNEC,O=N(=O)[C@@H]1C(=C(N(=O)=O)C(=O)C(=C1O)N(=O)=O)O,Cs,1.63408,0.82977,1.63408,752,0.0,1.0,0.0,0.8414762862513135
SIJCUM,OC(=O)c1cncc(c1)c1cc(cc(c1)C(=O)O)C(=O)O,Cd,7.05263,6.21026,6.9014,16,0.1806009272348724,0.10499490316004079,0.001156598878302067,87.1289304512636
SIJPUX,OP(=O)(CCP(=O)(O)O)O,Ba,1.46879,0.67508,1.09664,106,1.0,0.6153846153846154,0.5683760683760684,6.7193136297220475
SIJQAE,OP(=O)(CCCP(=O)(O)O)O,Ba,1.76328,1.14547,1.53537,106,0.2967770436824883,0.3076923076923077,0.004273504273504273,3.4899242280967595
SIJQEI,OP(=O)(CCCCP(=O)(O)O)O,Ba,1.62019,1.09338,1.62019,106,0.38029987594747433,0.3076923076923077,0.004273504273504273,3.488102384450757
SIJYEQ,OC(=O)c1cc(ccc1C(=O)O)C(=O)O,Ca,1.60052,0.87746,1.60052,78,0.5248318345986918,0.3220338983050847,0.05551959652621949,31.530476686551065
SIKGEA,n1ccncc1,Cu,4.71118,4.39136,4.71093,3,0.671694977429515,0.029535864978902954,3.193735329300865e-07,31.047094429648066
SIKHUQ,C/C(=N\N=C(\c1nccnc1)/C)/c1nccnc1,Ag,6.09034,3.66739,6.07665,1,0.20200362261591057,0.048672566371681415,0.02748700660205077,9.123181309961682
SIKJOM,OC(=O)[C@@H]1C=CN(C=C1)CCCN1C=C[C@H](C=C1)C(=O)O,Cu,4.32762,2.7303,4.14814,3,0.19836104027290277,0.0008438818565400844,0.0,0.8856528312373054
SIKYER,OC(=O)c1ccc(cc1)C(=O)O,Eu,4.79281,3.13442,4.78856,8,0.78632280336156,0.611336032388664,0.023536425776037952,130.90582423166592
SILKAC,OC(=O)c1ccc(cc1)c1ccc(cc1)c1cc(cc(c1)C(=O)O)C(=O)O,Eu,5.88612,3.80128,5.88612,8,0.47741826259256,0.41700404858299595,0.005060806349372212,89.39066531924142
SINLAE,n1ccc(cc1)c1ccncc1,Co,5.58935,3.53329,5.58935,0,0.1223886738219726,0.06983240223463687,0.004107462941090834,43.01496167090587
SINTAN,OC(=O)c1cc(cc(c1)c1ccc(cc1)c1nnn[nH]1)C(=O)O,Co,4.34937,3.03618,4.07785,0,0.14935323630891542,0.09217877094972067,0.0032414218954417338,55.07052672146869
SINWAQ,c1ncc[nH]1,In,10.56651,9.38533,10.55473,349,0.19149879645328838,1.0,0.0,2.9965768248567444
SINWEU,c1ncc[nH]1,In,10.53189,9.38017,10.53189,349,0.17757968305644076,1.0,0.0,2.996516387850802
SINXET,OC(=O)C[C@@H](C(=O)O)N,Eu,4.93341,3.81593,4.93341,753,0.0,1.0,0.0,0.9998455940701346
SINXIY,[nH]1cnnc1,Cd,3.36459,0.58957,3.36459,83,0.29072604628462767,1.0,0.0,13.839421602408551
SIPVOD,O=N(=O)c1cc(ccc1c1ccc(cc1N(=O)=O)C(=O)O)C(=O)O,U,3.45027,2.42397,2.7352,136,0.3970253916223818,0.0958904109589041,0.0013264230733575377,5.781064736390375
SIRBIG01,OC=O,Mg,4.00636,2.31894,4.00284,66,0.28151170134536113,1.0,0.0,83.89818854199022
SIRBIG04,OC=O,Mg,3.90726,2.25877,3.84161,66,0.285799425277105,1.0,0.0,83.90068669842783
SIRBIG05,OC=O,Mg,3.98256,2.30985,3.92758,66,0.28714658367384044,1.0,0.0,83.90147159327528
SIRBIG06,OC=O,Mg,4.1335,2.41665,4.1335,66,0.2878482468594636,1.0,0.0,83.90188040327146
SIRBIG07,OC=O,Mg,4.7082,2.80039,4.7082,66,0.29833050426210167,1.0,0.0,83.90798768051877
SIRNOZ,OC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)O,Ti,8.18387,7.00097,8.18387,585,0.0,1.0,0.0,2.596728722549105
SIRTEV,OP(=O)(CCP(=O)(O)O)O,Sb,1.44871,0.79583,1.44806,343,0.0,1.0,0.0,0.8499915825551411
